Epoch,Training Loss,Validation Loss
1,0.012830124236643314,0.00656268373131752
2,0.0033942197915166616,0.0028447757940739393
3,0.002451360458508134,0.0026460071094334126
4,0.0017730066319927573,0.0017606980400159955
5,0.0015871478244662285,0.0016913616564124823
6,0.001461852458305657,0.0014643166214227676
7,0.0014039414236322045,0.0012633329024538398
8,0.0011915672803297639,0.0011219208827242255
9,0.0010842764750123024,0.0009663300588726997
10,0.0009806628804653883,0.000958307646214962
11,0.0009311087196692824,0.000926666019950062
12,0.0009089820669032633,0.0008805440156720579
13,0.0008555854437872767,0.0008166835177689791
14,0.0008337534382008016,0.0007405256037600338
15,0.0007971666054800153,0.0007249347981996834
16,0.000765753211453557,0.0006918294820934534
17,0.000736634770873934,0.0006614408339373767
18,0.0007285707397386432,0.0006858728593215346
19,0.0006985465297475457,0.0007515369215980172
20,0.0006752863992005587,0.0005832622991874814
21,0.0006410806090570986,0.0006287698051892221
22,0.0006498551811091602,0.000645526044536382
23,0.0005975919775664806,0.0005454859929159284
24,0.000568467250559479,0.0005406013806350529
25,0.0005389857687987387,0.0005091073689982295
26,0.0005083649884909391,0.0005427395808510482
27,0.000498065899591893,0.0005045891157351434
28,0.0004984962870366871,0.0006611646967940032
29,0.00048749835696071386,0.0005302233621478081
30,0.00046230453881435096,0.0005038609961047769
31,0.0004528989375103265,0.00042569253128021955
32,0.00043314689537510276,0.0006216369802132249
33,0.0004249681660439819,0.000479734007967636
34,0.00042237978777848184,0.0004266340984031558
35,0.00040402309969067574,0.00040007775533013046
36,0.00039190673851408064,0.0003763503336813301
37,0.00038131425390020013,0.000467818375909701
38,0.0003760782419703901,0.0003830164496321231
39,0.00036612196709029377,0.0004135207273066044
40,0.00036413155612535775,0.0004738091374747455
41,0.00035217241384088993,0.0004644591244868934
42,0.0003407216863706708,0.00037302562850527465
43,0.0003497325524222106,0.0003817334945779294
44,0.00032898582867346704,0.00038172275526449084
45,0.0003209411515854299,0.00044401007471606135
46,0.00031402939930558205,0.0003775718214455992
47,0.00030460351263172925,0.00048353284364566207
48,0.0002977805561386049,0.0003619455674197525
49,0.000295535457553342,0.00034218994551338255
50,0.00029267731588333845,0.000332037394400686
51,0.00027557133580558,0.0003383228031452745
52,0.0002718954929150641,0.000403817743062973
53,0.0002729496918618679,0.00033109160722233355
54,0.00025700469268485904,0.0008015446946956217
55,0.00024853882496245205,0.00038413007860071957
56,0.00023953169875312597,0.0002797470078803599
57,0.00023105781292542815,0.00023483742552343756
58,0.00021732208551838994,0.00027556641725823283
59,0.00020595657406374812,0.00021214511070866138
60,0.00020529527682811022,0.0002147607592632994
61,0.00018757513316813856,0.00022108331904746592
62,0.00017732955166138709,0.00020253509865142405
63,0.00016828779189381748,0.00022365168842952698
64,0.0001592025364516303,0.00014378772175405174
65,0.00016474090807605535,0.00014136936806607991
66,0.0001406858500558883,0.0001304691977566108
67,0.0001329215447185561,0.00011262471525697038
68,0.00012664770474657416,9.579284233041108e-05
69,0.00011668123624986038,9.34091949602589e-05
70,0.00011463623377494514,0.00011625437764450908
71,0.0001111362871597521,8.092386269709095e-05
72,0.00010598480730550364,8.407062705373392e-05
73,0.00010259968257742003,7.521372754126787e-05
74,0.0001016300157061778,0.00012689367576967925
75,9.591126581653953e-05,8.649522351333871e-05
76,9.50799003476277e-05,7.292814552783966e-05
77,8.628048817627132e-05,7.888217805884778e-05
78,8.551211067242548e-05,5.417622742243111e-05
79,8.333438745466992e-05,7.845463551348075e-05
80,9.16299904929474e-05,6.373247015289962e-05
81,7.7296223025769e-05,9.069287625607103e-05
82,7.344588811974972e-05,5.044187855673954e-05
83,7.459352491423488e-05,6.437896081479266e-05
84,7.345145422732458e-05,9.828719339566305e-05
85,7.413445564452559e-05,5.384700489230454e-05
86,6.859372660983354e-05,7.09176529198885e-05
87,7.093744352459908e-05,5.3758209105581045e-05
88,6.329311872832477e-05,5.8899135183310136e-05
89,6.591167766600847e-05,4.594394704326987e-05
90,6.243333336897194e-05,4.940839789924212e-05
91,6.264227704377845e-05,5.258386954665184e-05
92,6.616399332415313e-05,6.340446270769462e-05
93,6.025131733622402e-05,4.0422040910925716e-05
94,6.0153121012263e-05,8.42559602460824e-05
95,5.851758032804355e-05,4.962151433574036e-05
96,5.46615628991276e-05,3.498756268527359e-05
97,5.5172651627799496e-05,0.0001486843393649906
98,5.780607170891017e-05,9.890460933092982e-05
99,5.5396452808054164e-05,6.809219485148787e-05
100,5.485900692292489e-05,3.8548656448256224e-05
101,5.5821845307946205e-05,5.17258740728721e-05
102,5.062772470409982e-05,3.437241684878245e-05
103,5.211843745200895e-05,4.807942605111748e-05
104,5.3076280892128125e-05,3.8350073737092316e-05
105,5.52589372091461e-05,4.0108465327648446e-05
106,4.8177102144109085e-05,3.430049400776625e-05
107,5.128624616190791e-05,4.1092076571658254e-05
108,4.82369759993162e-05,3.588102845242247e-05
109,4.643224019673653e-05,3.527091030264273e-05
110,4.9895563279278576e-05,4.023419751320034e-05
111,4.709879431175068e-05,3.947070217691362e-05
112,4.549361256067641e-05,6.709605077048764e-05
113,4.6821751311654225e-05,3.410407589399256e-05
114,4.372887633508071e-05,4.466136306291446e-05
115,4.478959090192802e-05,4.206204539514147e-05
116,4.629719478543848e-05,3.4789147321134806e-05
117,4.296512634027749e-05,5.2845563914161175e-05
118,4.168922532699071e-05,4.730941145680845e-05
119,4.248872573953122e-05,3.13621130771935e-05
120,4.4562097173184156e-05,0.00010534711327636614
121,4.718449054053053e-05,4.2742249206639826e-05
122,4.218917092657648e-05,4.9620790377957746e-05
123,4.203648495604284e-05,8.058200910454616e-05
124,4.226960663800128e-05,5.369394420995377e-05
125,4.3815911340061575e-05,5.82972752454225e-05
126,4.3081508920295164e-05,4.068440102855675e-05
127,4.4686501496471465e-05,3.827701948466711e-05
128,4.304579124436714e-05,3.9740087231621146e-05
129,3.85489001928363e-05,2.9574744985438883e-05
130,3.880617441609502e-05,5.2012841479154304e-05
131,3.8836311432532966e-05,4.038210317958146e-05
132,4.172526314505376e-05,6.0322759964037687e-05
133,3.704839400597848e-05,3.415453466004692e-05
134,4.364658161648549e-05,7.967610872583464e-05
135,3.9687427488388494e-05,4.466993050300516e-05
136,3.703777110786177e-05,3.696195562952198e-05
137,3.618997288867831e-05,2.4807037334539928e-05
138,3.811181886703707e-05,2.8003765692119487e-05
139,3.8601105188718066e-05,2.4814249627524987e-05
140,4.028457624372095e-05,2.4908073100959882e-05
141,3.683282557176426e-05,6.77490679663606e-05
