Epoch,Training Loss,Validation Loss
1,0.009391429834067822,0.0029188452754169703
2,0.002945416606962681,0.002127479063346982
3,0.002180294366553426,0.0015498042339459062
4,0.0018037584377452731,0.001463803113438189
5,0.0016485328087583184,0.001262514851987362
6,0.0015718097565695643,0.0013870849506929517
7,0.0014985875459387898,0.0013175199273973703
8,0.0014298487221822143,0.0012673032470047474
9,0.0013542510569095612,0.001139390398748219
10,0.0012517288560047746,0.0011312233982607722
11,0.001165993046015501,0.0012306557036936283
12,0.0011362559162080288,0.001042117946781218
13,0.001079889596439898,0.0011243708431720734
14,0.0010435784934088588,0.0010388523805886507
15,0.0010002003982663155,0.0011180858127772808
16,0.0009463659371249378,0.0010003776988014579
17,0.0009029470384120941,0.0010285789612680674
18,0.000854174024425447,0.000948507571592927
19,0.0008105073939077556,0.0013793606776744127
20,0.0007730918005108833,0.0010654206853359938
21,0.000736950256396085,0.0009755304781720042
22,0.0006941644242033362,0.0009887244086712599
23,0.0006550981197506189,0.0008815888431854546
24,0.0006157143507152796,0.0009456736734136939
25,0.0005776108591817319,0.0008180678705684841
26,0.00055238779168576,0.0006976504228077829
27,0.0005318188923411071,0.0007133273174986243
28,0.0005047459271736443,0.0007819950114935637
29,0.0004733357054647058,0.0006661873776465654
30,0.00044959818478673697,0.0005636370624415576
31,0.00042068897164426744,0.0007380454917438328
32,0.00039965505129657686,0.0005327772814780474
33,0.0003750396135728806,0.0005775356548838317
34,0.00036182304029352963,0.0006036219419911504
35,0.00033749418798834085,0.000514903396833688
36,0.0003121941990684718,0.000480294314911589
37,0.00030284258536994457,0.00047194541548378766
38,0.0002935781376436353,0.00045421411050483584
39,0.0002776609908323735,0.00038341994513757527
40,0.0002615241101011634,0.00043035371345467865
41,0.00025266152806580067,0.00035759381717070937
42,0.0002470795589033514,0.00038130435859784484
43,0.00024333740293513983,0.00039494707016274333
44,0.00023230940860230476,0.00034561456413939595
45,0.00022461143089458346,0.0003663704846985638
46,0.00021831669437233359,0.0002916371449828148
47,0.0002136313123628497,0.0004235485102981329
48,0.00021117406140547246,0.0003102521877735853
49,0.0002089037880068645,0.0003012728411704302
50,0.00020298779418226331,0.00037619686918333173
51,0.00020168127957731485,0.0002473974891472608
52,0.00019616451754700392,0.00034645720734260976
53,0.00019743762095458806,0.0002939679252449423
54,0.0001901947834994644,0.00030927665648050606
55,0.0001907029072754085,0.00031548060360364616
56,0.0001864598598331213,0.00029469106812030077
57,0.00018797647499013692,0.0002977726690005511
58,0.00017979218682739884,0.00039774997276254
59,0.00018358360102865845,0.0002794726169668138
60,0.00017922460392583162,0.00030017932294867933
61,0.00017432462482247502,0.00033615349093452096
62,0.0001787974761100486,0.0002462189586367458
63,0.00017533918435219675,0.0003486674395389855
64,0.00017784885130822659,0.00031238197698257864
65,0.0001687481562839821,0.000353711424395442
66,0.00016685022274032235,0.00025250058388337493
67,0.00016504220548085868,0.00020269078959245235
68,0.00016640109242871404,0.0002627839567139745
69,0.0001619668328203261,0.0002837526553776115
70,0.00016090954886749387,0.00020884588593617082
71,0.0001607164304004982,0.0002083072322420776
72,0.00016151326417457312,0.0002644543128553778
73,0.00015838003309909254,0.00022526738757733256
74,0.00016060109192039818,0.0002231480466434732
75,0.00015409324259962887,0.00026086991420015693
76,0.00015535728016402572,0.0002511052880436182
77,0.00015551575052086264,0.00020854917238466442
78,0.0001528696302557364,0.0002180662122555077
79,0.00015383350546471775,0.0003107025404460728
80,0.00015055137919262052,0.00020250212401151657
81,0.00015182283823378384,0.00021655850287061185
82,0.00014833333261776716,0.00023210671497508883
83,0.000148589548189193,0.00028105289675295353
84,0.00015053687093313783,0.00019800590234808624
85,0.00015216035535559058,0.00020954557112418115
86,0.00014927137817721814,0.00021993463451508433
87,0.00014462786202784628,0.0002481681003700942
88,0.00014504813589155674,0.000249095814069733
89,0.00014499203825835139,0.00024447610485367477
90,0.0001466487010475248,0.00015446833276655525
91,0.00014246979844756424,0.00017023985856212676
92,0.00014578134869225323,0.00017514356295578182
93,0.00014290287799667567,0.00017475447384640574
94,0.00014110196207184345,0.00015816565428394824
95,0.00014306357479654253,0.00018161360640078783
96,0.00013964164827484637,0.00018637477478478104
97,0.00014014636690262705,0.00019745812460314482
98,0.00014052458573132753,0.0002064559084828943
99,0.00013926747487857938,0.00018893762899097055
100,0.00013824166671838611,0.00019378162687644362
101,0.00014533895591739565,0.0001860433694673702
102,0.0001380869362037629,0.00019099342171102762
103,0.00014137277321424335,0.0001700392022030428
104,0.0001369148667436093,0.00017974991351366043
105,0.00013545839465223253,0.00019610168237704784
90,,0.00015446833276655525
