Epoch,Training Loss,Validation Loss
1,0.013461380265653133,0.011914451606571674
2,0.005407532677054405,0.01207483559846878
3,0.004125002771615982,0.005756509955972433
4,0.0034445144701749086,0.005056796129792929
5,0.003280579810962081,0.005176096223294735
6,0.002971979323774576,0.004833958577364683
7,0.0029144203290343285,0.005504910834133625
8,0.0027161864563822746,0.0037523575592786074
9,0.0026034354232251644,0.0036382873076945543
10,0.0022973809391260147,0.003210484515875578
11,0.0019334217067807913,0.0024898923002183437
12,0.0015435867244377732,0.002609774935990572
13,0.0013772733509540558,0.0022505023516714573
14,0.0012001419672742486,0.001725600566715002
15,0.0010636213701218367,0.001554835238493979
16,0.0009748224983923137,0.001240993500687182
17,0.0008580783614888787,0.0011573568917810917
18,0.0007879394106566906,0.0010552355088293552
19,0.0007152396137826145,0.0010816766880452633
20,0.0006853675004094839,0.0011364961974322796
21,0.0006334134377539158,0.0007696165121160448
22,0.0005970860365778208,0.0008472368936054409
23,0.000567715207580477,0.0007740782457403839
24,0.0005316660390235484,0.0007047660765238106
25,0.0005393740721046925,0.0010667683091014624
26,0.00048289322876371443,0.0006664773100055754
27,0.000479255395475775,0.0015223994851112366
28,0.0004412500711623579,0.0007605266873724759
29,0.00041824078653007746,0.0008294896688312292
30,0.00040209462167695165,0.0008181000594049692
31,0.0003784043656196445,0.0006321418331936002
32,0.0003690111043397337,0.0008060368709266186
33,0.0003505030763335526,0.0006950087263248861
34,0.00033856849768199027,0.0008775522001087666
35,0.00032779009779915214,0.0007676891982555389
36,0.00033800260280258954,0.0008423901745118201
37,0.0003155225422233343,0.0008122780127450824
38,0.0002946937456727028,0.0006748150917701423
39,0.00029245996847748756,0.0008095491793937981
40,0.00027280120411887765,0.0006403184961527586
41,0.000273389887297526,0.0007813439588062465
42,0.00027764055994339287,0.0007402690243907273
43,0.00024931025109253824,0.0005874618655070662
44,0.00024533469695597887,0.0005922738928347826
45,0.00024456751998513937,0.0008027414442040026
46,0.0002451876935083419,0.0006717811338603497
47,0.0002207612997153774,0.0006955102435313165
48,0.0002208020305261016,0.0010043518850579858
49,0.0002133083762601018,0.0008042670669965446
50,0.0002064982836600393,0.0007922895019873977
51,0.00021049792121630162,0.0006992663838900626
52,0.00020139220578130335,0.0005798840429633856
53,0.00019614012853708118,0.0009482837631367147
54,0.00020136836974415928,0.0006536002038046718
55,0.00019190102466382086,0.0007189338793978095
56,0.00019412139954511076,0.0006970281829126179
57,0.000185356373549439,0.0006939907325431705
58,0.00018257049669045955,0.0006577745662070811
59,0.00017829964053817093,0.0009629222913645208
60,0.0001744920009514317,0.0007150379824452102
61,0.00017317096353508532,0.0006434456445276737
62,0.00016504465020261705,0.0007461859495379031
63,0.0001603337877895683,0.0005888923769816756
64,0.00016654710634611547,0.0007534577744081616
65,0.00016117143968585879,0.0007396435248665512
66,0.0001599893148522824,0.000724371406249702
67,0.00015235193131957203,0.0005861036479473114
52,,0.0005798840429633856
