Epoch,Training Loss,Validation Loss
1,0.024123240262269974,0.008740299381315708
2,0.007000828627496958,0.007848323322832584
3,0.0059244767762720585,0.005912410095334053
4,0.004832559730857611,0.004087579436600208
5,0.0038382576312869787,0.003123693400993943
6,0.003295725677162409,0.0027722863014787436
7,0.002991962945088744,0.0025049964897334576
8,0.0027395980432629585,0.002216627122834325
9,0.0024652101565152407,0.001931315055117011
10,0.002226552227512002,0.0017687457147985697
11,0.0020743811037391424,0.0016849461244419217
12,0.0019932962022721767,0.0016731327632442117
13,0.0019190233433619142,0.0016057424945756793
14,0.0018593271961435676,0.0015379026299342513
15,0.0017966586165130138,0.0015651260036975145
16,0.0017690391978248954,0.0015719208167865872
17,0.001712499069981277,0.0014056768268346786
18,0.0016640028916299343,0.0013948451960459352
19,0.001632561907172203,0.0013598424848169088
20,0.0015975490678101778,0.0013698365073651075
21,0.0015466129407286644,0.0012625952949747443
22,0.0015119201270863414,0.0012393476208671927
23,0.0014964707661420107,0.0012119816383346915
24,0.0014620799338445067,0.0011575964745134115
25,0.0014236241113394499,0.0011726977536454797
26,0.0014002189273014665,0.0011101443087682128
27,0.0013566582929342985,0.0011021370301023126
28,0.0013599662343040109,0.0010633610654622316
29,0.001324296579696238,0.0010516404872760177
30,0.0013085049577057362,0.0010361906606703997
31,0.0012963125482201576,0.0010256955865770578
32,0.001273173256777227,0.0011835128534585238
33,0.0012508896179497242,0.0010756936389952898
34,0.0012391827767714858,0.0010277037508785725
35,0.0012243347009643912,0.0010601551039144397
36,0.0012076939456164837,0.0010096400510519743
37,0.0011998831760138273,0.0010984501568600535
38,0.0011915528448298573,0.0010185257997363806
39,0.0011923161800950766,0.001005480531603098
40,0.0011703192722052336,0.0010305435862392187
41,0.00115735805593431,0.001100853318348527
42,0.0011567308101803064,0.001005960046313703
43,0.0011362567311152816,0.0009960031602531672
44,0.0011140714632347226,0.0010538733331486583
45,0.0011132881045341492,0.0010100642684847116
46,0.0011017110664397478,0.001023435266688466
47,0.0010875868611037731,0.0010835748398676515
48,0.0010905034141615033,0.0010457284515723586
49,0.0010791716631501913,0.0009962625335901976
50,0.0010872564744204283,0.001050532446242869
51,0.0010652232449501753,0.0010273155057802796
52,0.0010528378188610077,0.0010220702970400453
53,0.0010382209438830614,0.0010376664577051997
54,0.001034809392876923,0.0009886602638289332
55,0.0010288783814758062,0.0009851076174527407
56,0.0010179004166275263,0.000981695600785315
57,0.0010100830113515258,0.0009750352473929524
58,0.0010002774652093649,0.000991431879810989
59,0.0009998303139582276,0.00101415254175663
60,0.0009832063224166632,0.0010242004645988345
61,0.0009632998262532055,0.0009636441245675087
62,0.000957477546762675,0.00095780921401456
63,0.0009456044645048678,0.0009541594190523028
64,0.0009447626653127372,0.0009570382535457611
65,0.000933950359467417,0.0009552575065754354
66,0.0009202409419231117,0.0009355226065963507
67,0.0009110221872106194,0.0009448700584471226
68,0.0009115456487052143,0.0009362813434563577
69,0.000895094417501241,0.0009443976450711489
70,0.0008790880092419684,0.0009188271942548454
71,0.0008693580748513341,0.0009485655464231968
72,0.0008793225279077888,0.0009649087442085147
73,0.0008613124955445528,0.0008954561781138182
74,0.0008429541485384107,0.0008981820428743958
75,0.0008376213954761624,0.0008920292020775378
76,0.0008284725481644273,0.0009129159734584391
77,0.0008307682583108544,0.0009094086708500981
78,0.0008114224183373153,0.0008804406970739365
79,0.0007974700420163572,0.0008434441988356411
80,0.0007871181005612016,0.0008337019826285541
81,0.0007894475711509585,0.0008348130504600704
82,0.0007649606559425592,0.0008264813222922385
83,0.0007505796966142952,0.0008141592843458056
84,0.0007449947879649699,0.0007874756120145321
85,0.0007346936035901308,0.0007832841365598142
86,0.0007214104989543557,0.0008139231940731406
87,0.0007106381235644221,0.0007556970231235027
88,0.0006986266816966236,0.0008099094266071916
89,0.0006976939621381462,0.0008565927855670452
90,0.0006789725739508867,0.0008618189604021609
91,0.0006697867065668106,0.0009628481930121779
92,0.0006651569856330752,0.0007543353131040931
93,0.0006512856343761086,0.0007355365669354796
94,0.0006462137098424137,0.000702805002219975
95,0.0006335551152005792,0.0006899683503434062
96,0.0006363214342854917,0.0007056687609292567
97,0.0006250262376852334,0.0006803914438933134
98,0.0006098694284446537,0.0006720608798786998
99,0.0006042789900675416,0.0006652814336121082
100,0.0006096431170590222,0.0006814413354732096
101,0.0005945378798060119,0.0007119961082935333
102,0.0005845726700499654,0.000644093262962997
103,0.0005828383727930486,0.0006496052956208587
104,0.0005765719688497484,0.0006628880510106683
105,0.0005733960424549878,0.0006374518270604312
106,0.000568908522836864,0.0006481438758783042
107,0.0005559404962696135,0.0006390760536305606
108,0.0005545317544601858,0.0006536703440360725
109,0.00054387521231547,0.0006611255230382085
110,0.0005379964713938534,0.000644348212517798
111,0.0005296931485645473,0.000645819993223995
112,0.0005250690155662596,0.000633958843536675
113,0.0005290660192258656,0.0006667438428848982
114,0.0005295209703035653,0.0006515897694043815
115,0.000517515349201858,0.0006486843922175467
116,0.0005092055071145296,0.000639285717625171
117,0.000502529728692025,0.0006275766645558178
118,0.0005069273756816983,0.0006632831646129489
119,0.0004997787764295936,0.0006280984380282462
120,0.0004963167011737823,0.0006392626673914492
121,0.0004892916767857969,0.0006429124623537064
122,0.00048813922330737114,0.0006247175624594092
123,0.0004794649430550635,0.0006238863570615649
124,0.0004778006696142256,0.0006238273927010596
125,0.0004764977202285081,0.000624458712991327
126,0.00046711345203220844,0.0006092243711464107
127,0.00046791511704213917,0.0006235827459022403
128,0.00045902279089204967,0.0006090159877203405
129,0.00045658776070922613,0.0006202563527040184
130,0.00046188387204892933,0.0006125693907961249
131,0.0004531480371952057,0.000587346323300153
132,0.0004467887047212571,0.0005994372186250985
133,0.0004477202892303467,0.0006164637161418796
